hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
24, 0.00000, 20.7932, 3.08796, 20.3328, 5.61304, 18.3762, 3.95173, 0, 0
24, 600.00000, 20.446, 3.01489, 19.9952, 5.49913, 18.0692, 3.8666, 0, 0
24, 1200.00000, 20.2734, 2.97851, 19.8274, 5.44223, 17.9168, 3.82415, 0, 0
24, 1800.00000, 20.1689, 2.95689, 19.7258, 5.40834, 17.8243, 3.79887, 0, 0
24, 2400.00000, 20.4097, 3.00779, 19.9599, 5.48805, 18.0368, 3.85834, 0, 0
24, 3000.00000, 20.2387, 2.97128, 19.7937, 5.4309, 17.8861, 3.8157, 0, 0
25, 0.00000, 20.2722, 2.97866, 19.8262, 5.44246, 17.9155, 3.82432, 0, 0
25, 600.00000, 20.3069, 2.9859, 19.8599, 5.4538, 17.9461, 3.83278, 0, 0
25, 1200.00000, 20.0312, 2.92795, 19.5919, 5.36293, 17.7028, 3.76502, 0, 0
25, 1800.00000, 19.6828, 2.85669, 19.253, 5.25065, 17.3947, 3.68144, 0, 0
25, 2400.00000, 19.5792, 2.83529, 19.1523, 5.21689, 17.3032, 3.65636, 0, 0
25, 3000.00000, 19.5097, 2.82116, 19.0846, 5.19453, 17.2417, 3.63975, 0, 0
26, 0.00000, 19.4403, 2.80702, 19.0172, 5.17215, 17.1805, 3.62313, 0, 0
26, 600.00000, 19.1986, 2.75755, 18.7821, 5.09375, 16.9671, 3.56494, 0, 0
26, 1200.00000, 19.1283, 2.74375, 18.7136, 5.07174, 16.9048, 3.54863, 0, 0
26, 1800.00000, 19.1279, 2.74383, 18.7132, 5.07185, 16.9044, 3.54872, 0, 0
26, 2400.00000, 19.0934, 2.73679, 18.6797, 5.06067, 16.874, 3.54043, 0, 0
26, 3000.00000, 19.1966, 2.75796, 18.7801, 5.09428, 16.965, 3.56536, 0, 0
27, 0.00000, 19.1627, 2.75079, 18.7471, 5.08293, 16.9352, 3.55693, 0, 0
27, 600.00000, 19.1281, 2.74379, 18.7134, 5.0718, 16.9046, 3.54868, 0, 0
27, 1200.00000, 19.0245, 2.72274, 18.6126, 5.03833, 16.8132, 3.52387, 0, 0
27, 1800.00000, 18.6427, 2.64655, 18.2411, 4.91661, 16.476, 3.43379, 0, 0
27, 2400.00000, 18.3308, 2.58476, 17.9376, 4.81748, 16.2006, 3.3606, 0, 0
27, 3000.00000, 18.1584, 2.55043, 17.7699, 4.76234, 16.0486, 3.31993, 0, 0
28, 0.00000, 18.0541, 2.53018, 17.6684, 4.72962, 15.9565, 3.29583, 0, 0
28, 600.00000, 17.8813, 2.49625, 17.5002, 4.67486, 15.804, 3.2555, 0, 0
28, 1200.00000, 17.8459, 2.48976, 17.4657, 4.66424, 15.7727, 3.24771, 0, 0
28, 1800.00000, 17.7424, 2.46947, 17.3649, 4.63142, 15.6813, 3.22356, 0, 0
28, 2400.00000, 17.8797, 2.49681, 17.4985, 4.6755, 15.8023, 3.25602, 0, 0
28, 3000.00000, 17.9838, 2.517, 17.5998, 4.70818, 15.8942, 3.28007, 0, 0
29, 0.00000, 18.1222, 2.54415, 17.7345, 4.75199, 16.0163, 3.31235, 0, 0
29, 600.00000, 18.1573, 2.55077, 17.7688, 4.76274, 16.0474, 3.32026, 0, 0
29, 1200.00000, 18.3988, 2.59885, 18.0037, 4.83997, 16.2604, 3.37724, 0, 0
29, 1800.00000, 18.4345, 2.60538, 18.0385, 4.85059, 16.2921, 3.38505, 0, 0
29, 2400.00000, 18.4692, 2.61223, 18.0723, 4.86159, 16.3227, 3.39318, 0, 0
29, 3000.00000, 18.297, 2.57769, 17.9048, 4.80622, 16.1709, 3.35229, 0, 0
30, 0.00000, 17.2358, 2.48555, 16.829, 4.69086, 15.1225, 3.23594, 0, 0
30, 600.00000, 16.8586, 2.48624, 16.4189, 4.65899, 14.7571, 3.1918, 0, 0
30, 1200.00000, 16.7553, 2.4666, 16.3184, 4.62684, 14.666, 3.16833, 0, 0
30, 1800.00000, 16.7405, 2.47667, 16.2964, 4.63739, 14.6472, 3.17242, 0, 0
30, 2400.00000, 16.7046, 2.50126, 16.2427, 4.66316, 14.6014, 3.1822, 0, 0
30, 3000.00000, 16.6399, 2.54559, 16.146, 4.70961, 14.5189, 3.19991, 0, 0
31, 0.00000, 16.4866, 2.56069, 15.9708, 4.71397, 14.3639, 3.19064, 0, 0
31, 600.00000, 16.3123, 2.57552, 15.7732, 4.71609, 14.189, 3.17888, 0, 0
31, 1200.00000, 15.9924, 2.58647, 15.4208, 4.70087, 13.8755, 3.14868, 0, 0
31, 1800.00000, 15.86, 2.61884, 15.2582, 4.72693, 13.7334, 3.15174, 0, 0
31, 2400.00000, 15.577, 2.62088, 14.9511, 4.70405, 13.46, 3.1204, 0, 0
31, 3000.00000, 14.7226, 2.60648, 14.039, 4.61014, 12.6456, 3.01633, 0, 0
32, 0.00000, 14.441, 2.64258, 13.7144, 4.62651, 12.3596, 3.00529, 0, 0
32, 600.00000, 13.0472, 2.64157, 12.2211, 4.49608, 11.0281, 2.85344, 0, 0
32, 1200.00000, 10.4392, 2.67593, 9.42493, 4.2849, 8.53863, 2.60207, 0, 0
32, 1800.00000, 9.93072, 2.68719, 8.87917, 4.24755, 8.05364, 2.55669, 0, 0
32, 2400.00000, 7.16407, 2.75942, 5.92696, 4.05059, 5.42733, 2.33364, 0, 0
32, 3000.00000, 6.19013, 2.80595, 4.88283, 4.00283, 4.49995, 2.27224, 0, 0
33, 0.00000, 2.86635, 2.99897, 1.32432, 3.86859, 1.34221, 2.09834, 0, 0
33, 600.00000, 2.13255, 3.06964, 0.52842, 3.86934, 0.637926, 2.08027, 0, 0
33, 1200.00000, 1.00345, 3.17198, -0.689031, 3.86127, -0.439735, 2.05089, 0, 0
33, 1800.00000, 0.031425, 3.25257, -1.72962, 3.84384, -1.36115, 2.0231, 0, 0
33, 2400.00000, 4.607, 3.27799, 2.86814, 3.91586, 3.18516, 2.09103, 0, 0
33, 3000.00000, 3.91207, 3.35223, 2.10587, 3.9335, 2.50558, 2.07865, 0, 0
34, 0.00000, 8.99154, 3.71022, 7.27326, 4.25606, 7.65968, 2.49506, 0, 0
34, 600.00000, 7.86339, 3.71715, 6.09273, 4.21833, 6.54402, 2.4343, 0, 0
34, 1200.00000, 7.08481, 3.7163, 5.26067, 4.19254, 5.7603, 2.37467, 0, 0
34, 1800.00000, 6.97809, 3.76752, 5.11925, 4.25225, 5.62888, 2.40007, 0, 0
34, 2400.00000, 6.84773, 3.77835, 4.97461, 4.25964, 5.49437, 2.39682, 0, 0
34, 3000.00000, 6.87218, 3.77204, 5.00359, 4.25505, 5.51959, 2.39529, 0, 0
